GEP,2658,5176,1057,1328,406,2910,4406,1501,1158,6533
ACTA2,1.0,1.0,1.0,0.0,1.0,5.0,0.0,2.0,5.0,1.0
ALDOC,5.0,7.0,16.0,0.0,5.0,3.0,4.0,10.0,6.0,11.0
ANLN,7.0,0.0,17.0,6.0,0.0,35.0,1.0,17.0,4.0,4.0
APLN,5.0,5.0,3.0,3.0,2.0,6.0,1.0,3.0,7.0,0.0
BMP4,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
CNR1,2.0,0.0,2.0,1.0,6.0,0.0,7.0,0.0,3.0,5.0
CPNE5,0.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,4.0
CRH,1.0,0.0,1.0,0.0,6.0,5.0,2.0,1.0,2.0,0.0
CRHBP,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0
CTPS,8.0,6.0,117.0,0.0,3.0,1.0,12.0,3.0,23.0,1.0
FLT1,0.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
FOXJ1,0.0,2.0,0.0,1.0,0.0,2.0,1.0,4.0,6.0,0.0
GAD2,11.0,4.0,15.0,37.0,3.0,8.0,11.0,31.0,7.0,1.0
GFAP,0.0,1.0,21.0,2.0,0.0,26.0,0.0,2.0,19.0,0.0
HEXB,1.0,4.0,6.0,2.0,0.0,4.0,9.0,3.0,11.0,5.0
ITPR2,34.0,1.0,11.0,0.0,5.0,1.0,0.0,0.0,5.0,1.0
KCNIP2,0.0,16.0,4.0,20.0,5.0,0.0,44.0,13.0,2.0,18.0
LAMP5,0.0,75.0,2.0,10.0,14.0,0.0,1.0,5.0,2.0,5.0
MFGE8,0.0,0.0,40.0,1.0,3.0,5.0,1.0,5.0,1.0,3.0
MRC1,1.0,3.0,8.0,2.0,0.0,4.0,5.0,3.0,3.0,0.0
