0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.0,0.0,0.12169156,0.0,0.12630206,0.0,0.0,0.0,0.0,0.15878832,0.0,0.11552954,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.15044191,0.0,0.0,0.0,0.22183345,0.1069384,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.17845452,0.0,0.0,0.0,0.0,0.0,0.118873,0.20908047,0.0,0.14453372,0.0
0.11751516,0.0,0.0,0.0,0.0,0.0,0.0,0.20616378,0.0,0.0,0.17884485,0.0,0.0,0.15604937,0.0
0.0,0.0,0.0,0.0,0.1272862,0.0,0.0,0.0,0.0,0.11800725,0.0,0.0,0.0,0.0,0.14427063
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21677688,0.0,0.110521555,0.0,0.11789593
0.0,0.0,0.1322556,0.103980966,0.0,0.0,0.0,0.10072594,0.0,0.0,0.16255024,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.12546219,0.0,0.0,0.0,0.120330095,0.0,0.0,0.14029945,0.0,0.0,0.1464832
0.0,0.0,0.0,0.149527,0.13211027,0.0,0.0,0.12646087,0.0,0.0,0.0,0.0,0.102460966,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16135068,0.0,0.17428462,0.0,0.0,0.0,0.0,0.0
